"","a99","gameVersion","a11","kills","deaths","assists","totalDamageDealt","visionScore","totalDamageTaken","goldEarned","visionWardsBoughtInGame","a9","lll"
"1",4537263288,"10.15.328.8759",43,3,4,7,29623,80,11979,8399,14,TRUE,"SUP"
"2",4537263288,"10.15.328.8759",81,6,1,2,205651,26,15005,13814,1,TRUE,"BOT_CARRY"
"3",4539254507,"10.15.330.344",235,4,6,13,31378,50,18397,8686,5,TRUE,"SUP"
"4",4540233313,"10.15.330.344",201,0,4,17,15082,44,17532,6319,11,TRUE,"SUP"
"5",4540233313,"10.15.330.344",22,6,1,8,125713,28,10280,11507,1,TRUE,"BOT_CARRY"
"6",4541595080,"10.15.330.344",235,3,6,27,124332,44,20559,11883,7,TRUE,"BOT_CARRY"
"7",4541595080,"10.15.330.344",201,1,5,17,32396,111,26697,8146,7,TRUE,"SUP"
"8",4551341533,"10.15.330.344",412,0,2,14,16669,47,8199,5825,9,TRUE,"SUP"
"9",4551341533,"10.15.330.344",523,7,2,5,134881,24,9336,11160,4,TRUE,"BOT_CARRY"
"10",4552462082,"10.15.330.344",432,1,1,17,34300,107,12232,8856,13,TRUE,"SUP"
"11",4552462082,"10.15.330.344",145,7,1,5,209464,25,11639,14069,0,TRUE,"BOT_CARRY"
"12",4568624544,"10.16.330.9186",236,9,1,8,161802,40,10554,13886,6,TRUE,"BOT_CARRY"
"13",4568624544,"10.16.330.9186",111,1,1,14,19907,68,9793,6780,8,TRUE,"SUP"
"14",4568681167,"10.16.330.9186",12,8,2,19,24274,48,17477,8889,7,TRUE,"SUP"
"15",4568681167,"10.16.330.9186",202,7,3,18,145378,24,16980,12148,3,TRUE,"BOT_CARRY"
"16",4572811026,"10.16.330.9186",43,1,8,20,28407,77,16729,8164,14,TRUE,"SUP"
"17",4572811026,"10.16.330.9186",777,7,8,10,172077,27,29360,13651,2,TRUE,"BOT_CARRY"
"18",4572957503,"10.16.330.9186",117,0,3,20,31898,69,9351,7474,13,TRUE,"SUP"
"19",4572957503,"10.16.330.9186",22,7,1,14,199000,36,11993,14484,3,TRUE,"BOT_CARRY"
"20",4580120473,"10.16.330.9186",111,5,11,13,28613,59,25473,9129,11,TRUE,"SUP"
"21",4580120473,"10.16.330.9186",157,7,6,8,216374,36,26287,14922,4,TRUE,"BOT_CARRY"
"22",4584123891,"10.16.330.9186",145,7,3,6,129368,22,8138,11515,1,TRUE,"BOT_CARRY"
"23",4584123891,"10.16.330.9186",412,3,3,10,15141,46,7053,6190,7,TRUE,"SUP"
"24",4584255667,"10.16.330.9186",555,7,3,5,25325,74,8443,9164,9,TRUE,"SUP"
"25",4584255667,"10.16.330.9186",236,0,3,7,97759,12,9148,8821,2,TRUE,"BOT_CARRY"
"26",4588134583,"10.16.330.9186",432,2,0,6,20087,110,9530,7904,14,TRUE,"SUP"
"27",4588134583,"10.16.330.9186",119,4,1,4,186720,40,16516,14574,4,TRUE,"BOT_CARRY"
"28",4588437259,"10.16.330.9186",555,2,6,11,18292,44,16566,8538,10,TRUE,"SUP"
"29",4588437259,"10.16.330.9186",22,4,5,11,106416,21,11198,9610,2,TRUE,"BOT_CARRY"
"30",4590053404,"10.16.330.9186",432,3,3,22,29553,72,19014,10144,6,TRUE,"SUP"
"31",4590053404,"10.16.330.9186",777,6,5,12,155465,31,23276,12248,3,TRUE,"BOT_CARRY"
"32",4590110337,"10.16.330.9186",432,3,6,19,31177,87,17240,8635,10,TRUE,"SUP"
"33",4590110337,"10.16.330.9186",81,8,8,11,154708,17,21949,13091,3,TRUE,"BOT_CARRY"
"34",4590137227,"10.16.330.9186",51,5,4,11,128330,23,14993,10850,1,TRUE,"BOT_CARRY"
"35",4590137227,"10.16.330.9186",432,0,5,18,20008,69,11566,6574,12,TRUE,"SUP"
"36",4590279945,"10.16.330.9186",99,3,7,21,55981,74,14747,9891,10,TRUE,"SUP"
"37",4590279945,"10.16.330.9186",81,10,5,15,179472,31,17606,14341,2,TRUE,"BOT_CARRY"
"38",4590302353,"10.16.330.9186",432,0,5,9,23919,77,10668,6586,9,TRUE,"SUP"
"39",4590302353,"10.16.330.9186",115,1,1,6,180736,19,7341,10928,4,TRUE,"BOT_CARRY"
"40",4590518370,"10.16.330.9186",223,1,4,18,22333,51,17841,7353,10,TRUE,"SUP"
"41",4590518370,"10.16.330.9186",22,6,4,12,138251,32,14400,11750,2,TRUE,"BOT_CARRY"
"42",4591787042,"10.16.330.9186",497,2,1,12,19449,55,10243,7648,7,TRUE,"SUP"
"43",4591787042,"10.16.330.9186",202,3,5,8,150198,21,14862,11483,3,TRUE,"BOT_CARRY"
"44",4591878609,"10.16.330.9186",432,0,3,13,22219,40,9029,6735,7,TRUE,"SUP"
"45",4591878609,"10.16.330.9186",236,3,4,2,114319,23,10350,7970,5,TRUE,"BOT_CARRY"
"46",4592023710,"10.16.330.9186",412,5,3,18,31106,107,17667,11149,16,TRUE,"SUP"
"47",4592023710,"10.16.330.9186",145,14,5,10,288173,26,24951,19809,4,TRUE,"BOT_CARRY"
"48",4595122281,"10.16.330.9186",223,3,4,12,30071,74,22902,9427,8,TRUE,"SUP"
"49",4595122281,"10.16.330.9186",236,12,10,7,242544,32,30322,17629,6,TRUE,"BOT_CARRY"
"50",4599498301,"10.16.330.9186",43,0,2,16,30237,60,11497,6907,11,TRUE,"SUP"
"51",4600648464,"10.16.330.9186",875,2,5,11,22579,69,17196,8039,13,TRUE,"SUP"
"52",4600648464,"10.16.330.9186",15,5,1,9,235579,38,10962,14768,2,TRUE,"BOT_CARRY"
"53",4602560918,"10.16.330.9186",223,1,5,10,17618,55,13592,7389,7,TRUE,"SUP"
"54",4602560918,"10.16.330.9186",81,7,4,9,117996,24,14540,12791,4,TRUE,"BOT_CARRY"
"55",4603142078,"10.16.330.9186",432,1,8,19,34037,54,22417,8613,7,TRUE,"SUP"
"56",4603142078,"10.16.330.9186",202,11,6,7,238798,18,22939,15952,0,TRUE,"BOT_CARRY"
"57",4606508258,"10.16.330.9186",18,12,5,9,238081,65,20473,18406,4,TRUE,"BOT_CARRY"
"58",4606508258,"10.16.330.9186",432,1,7,19,23230,125,23525,9829,11,TRUE,"SUP"
"59",4606810736,"10.16.330.9186",22,7,5,16,234240,26,29518,16491,1,TRUE,"BOT_CARRY"
"60",4606810736,"10.16.330.9186",98,4,5,18,30803,106,33430,9683,13,TRUE,"SUP"
"61",4609353472,"10.16.330.9186",12,1,4,15,14465,68,16360,7403,11,TRUE,"SUP"
"62",4609353472,"10.16.330.9186",61,8,3,10,131548,22,11643,11641,3,TRUE,"BOT_CARRY"
"63",4615906802,"10.16.330.9186",412,2,2,11,20651,68,8562,7294,11,TRUE,"SUP"
"64",4615906802,"10.16.330.9186",115,1,2,7,138872,20,8731,9869,3,TRUE,"BOT_CARRY"
"65",4618161896,"10.18.333.8889",98,1,4,10,23767,57,9446,6350,9,TRUE,"SUP"
"66",4618161896,"10.18.333.8889",202,5,3,10,131239,25,10440,11237,3,TRUE,"BOT_CARRY"
"67",4619909425,"10.18.333.8889",145,13,7,17,210673,33,31205,17217,1,TRUE,"BOT_CARRY"
"68",4619909425,"10.18.333.8889",111,3,6,28,30935,75,25159,9516,18,TRUE,"SUP"
"69",4621333154,"10.18.333.8889",22,1,1,10,85581,20,6178,8380,3,TRUE,"BOT_CARRY"
"70",4621333154,"10.18.333.8889",432,1,3,11,19082,46,6332,5737,6,TRUE,"SUP"
"71",4622886614,"10.18.333.8889",555,7,5,10,32396,65,14512,9956,1,TRUE,"SUP"
"72",4622886614,"10.18.333.8889",236,7,4,7,167374,24,14294,13060,4,TRUE,"BOT_CARRY"
"73",4625959978,"10.18.333.8889",51,9,3,5,218488,30,17397,15237,3,TRUE,"BOT_CARRY"
"74",4625959978,"10.18.333.8889",432,2,2,20,28416,79,12706,8600,10,TRUE,"SUP"
"75",4626029350,"10.18.333.8889",43,1,6,14,21063,56,10233,7371,12,TRUE,"SUP"
"76",4626029350,"10.18.333.8889",22,4,5,8,124062,22,15355,11649,2,TRUE,"BOT_CARRY"
"77",4626570591,"10.18.333.8889",432,1,2,17,32066,71,14926,7433,5,TRUE,"SUP"
"78",4626570591,"10.18.333.8889",81,4,2,10,117615,9,12945,10156,1,TRUE,"BOT_CARRY"
"79",4630166499,"10.18.333.8889",99,1,4,18,51680,53,18533,10664,4,TRUE,"SUP"
"80",4630166499,"10.18.333.8889",51,8,3,9,306974,45,27635,18092,35,TRUE,"BOT_CARRY"
"81",4631176592,"10.18.333.8889",432,0,4,11,19418,105,15434,7299,12,TRUE,"SUP"
