"","a99","name","a12","a9","FBK","DRG","kills_ADC","deaths_ADC","assists_ADC","kills_SUP","deaths_SUP","assists_SUP","ADC","SUP","KDA_mean","totalDamageDealtToChampions_mean","visionScore_mean","totalDamageTaken_mean","goldEarned_mean","visionWardsBoughtInGame_mean"
"2",4537263288,"Ezreal & Karma",100,TRUE,TRUE,FALSE,6,1,2,3,4,7,"Ezreal","Karma",6.38,13537.5,53,13492,11106.5,7.5
"3",4537263288,"Caitlyn & Bard",200,FALSE,TRUE,TRUE,5,7,3,1,3,12,"Caitlyn","Bard",5.21,13082,62.5,14504.5,10120.5,8.5
"21",4540233313,"Ashe & Braum",100,TRUE,FALSE,FALSE,6,1,8,0,4,17,"Ashe","Braum",9.12,10335.5,36,13906,8913,6
"4",4540233313,"Corki & Qiyana",200,FALSE,FALSE,TRUE,4,3,3,6,6,7,"Corki","Qiyana",6.08,18915,65,15610,10599.5,5
"1",4541595080,"Senna & Braum",100,TRUE,FALSE,TRUE,3,6,27,1,5,17,"Senna","Braum",5.95,19189,77.5,23628,10014.5,7
"31",4541595080,"Varus & Yuumi",200,FALSE,FALSE,FALSE,5,9,11,3,6,18,"Varus","Yuumi",6.11,22661.5,52,20259,11347.5,5.5
"22",4551341533,"Aphelios & Thresh",100,TRUE,FALSE,TRUE,7,2,5,0,2,14,"Aphelios","Thresh",8.25,8141.5,35.5,8767.5,8492.5,6.5
"41",4551341533,"Ashe & Pyke",200,FALSE,FALSE,FALSE,1,3,3,2,8,2,"Ashe","Pyke",2.12,8045,40.5,11067.5,6931.5,4.5
"23",4552462082,"Kai'Sa & Bard",100,TRUE,FALSE,TRUE,7,1,5,1,1,17,"Kai'Sa","Bard",15,12535,66,11935.5,11462.5,6.5
"32",4552462082,"Ezreal & Janna",200,FALSE,FALSE,FALSE,2,5,4,0,4,4,"Ezreal","Janna",1.9,11304,39.5,12495.5,7755.5,5.5
"11",4568624544,"Lucian & Nautilus",100,TRUE,FALSE,TRUE,9,1,8,1,1,14,"Lucian","Nautilus",16,12926,54,10173.5,10333,7
"33",4568624544,"Kai'Sa & Thresh",200,FALSE,FALSE,FALSE,5,4,0,0,5,4,"Kai'Sa","Thresh",2.9,7692.5,42,11793,7831.5,6.5
"24",4568681167,"Lucian & Sett",100,FALSE,FALSE,FALSE,4,10,3,0,12,6,"Lucian","Sett",2.4,11288.5,35.5,18853,7242,7.5
"42",4568681167,"Jhin & Alistar",200,TRUE,FALSE,TRUE,7,3,18,8,2,19,"Jhin","Alistar",15.25,14919,36,17228.5,10518.5,5
"25",4572811026,"Yone & Karma",100,TRUE,TRUE,TRUE,7,8,10,1,8,20,"Yone","Karma",5.88,16432,52,23044.5,10907.5,8
"43",4572811026,"Jhin & Thresh",200,FALSE,TRUE,FALSE,6,6,10,1,6,14,"Jhin","Thresh",5.5,15554,50.5,19723.5,10140.5,9.5
"26",4572957503,"Ashe & Lulu",100,TRUE,FALSE,TRUE,7,1,14,0,3,20,"Ashe","Lulu",13.83,13413.5,52.5,10672,10979,8
"44",4572957503,"Senna & Sett",200,FALSE,FALSE,FALSE,0,7,7,1,6,7,"Senna","Sett",1.58,8599.5,41.5,17715,7554,10
"27",4580120473,"Ashe & Karma",100,FALSE,FALSE,TRUE,12,9,16,2,1,28,"Ashe","Karma",21.89,21869,61.5,22077,13058,5.5
"45",4580120473,"Yasuo & Nautilus",200,TRUE,FALSE,FALSE,7,6,8,5,11,13,"Yasuo","Nautilus",7.26,14813.5,47.5,25880,12025.5,7.5
"12",4584123891,"Jinx & Tahm Kench",100,FALSE,FALSE,FALSE,5,5,6,0,5,7,"Jinx","Tahm Kench",3.8,6256,24.5,11694.5,7478.5,2.5
"34",4584123891,"Kai'Sa & Thresh",200,TRUE,TRUE,TRUE,7,3,6,3,3,10,"Kai'Sa","Thresh",7.67,7843,34,7595.5,8852.5,4
"28",4584255667,"Lucian & Pyke",100,TRUE,FALSE,TRUE,0,3,7,7,3,5,"Lucian","Pyke",5.5,6588.5,43,8795.5,8992.5,5.5
"35",4584255667,"Jhin & Rakan",200,FALSE,FALSE,FALSE,4,2,1,0,3,6,"Jhin","Rakan",3.25,4910.5,25.5,5844.5,6648.5,4
"29",4588134583,"Draven & Bard",100,TRUE,FALSE,TRUE,4,1,4,2,0,6,"Draven","Bard",Inf,10758.5,75,13023,11239,9
"36",4588134583,"Ezreal & Karma",200,FALSE,FALSE,FALSE,0,1,2,1,1,3,"Ezreal","Karma",3,15143.5,51.5,10648.5,9977.5,6
"210",4588437259,"Ashe & Pyke",100,TRUE,TRUE,FALSE,4,5,11,2,6,11,"Ashe","Pyke",5.02,11061,32.5,13882,9074,6
"46",4588437259,"Jinx & Thresh",200,FALSE,TRUE,TRUE,6,5,6,1,4,12,"Jinx","Thresh",5.6,8741,30,14226.5,8644,5
"13",4590053404,"Kai'Sa & Leona",100,FALSE,FALSE,FALSE,4,6,3,0,6,5,"Kai'Sa","Leona",2.67,9169,36,15922.5,8332,6
"47",4590053404,"Yone & Bard",200,TRUE,FALSE,TRUE,6,5,12,3,3,22,"Yone","Bard",9.37,16944.5,51.5,21145,11196,4.5
"211",4590110337,"Ezreal & Bard",100,TRUE,FALSE,TRUE,8,8,11,3,6,19,"Ezreal","Bard",7.77,21141.5,52,19594.5,10863,6.5
